"","State","Ages 18-29","Ages 30-59","Ages 60+","Males","Females","Early Voters","E-Day Voters"
"1","Alabama",0.219570679647701,0.483728883129747,0.296700437222552,0.480420621589528,0.519579378410472,0.0387537485807551,0.961246251419245
"2","Alaska",0.241168429344969,0.535802556012462,0.223029014642569,0.514244322244931,0.48575567775507,0.253191978615414,0.746808021384586
"3","Arizona",0.224802452572937,0.489540632561161,0.285656914865901,0.49149433708377,0.508505662916229,0.675697382806103,0.324302617193897
"4","Arkansas",0.175467115848999,0.508676728744443,0.315856155406558,0.487431644114043,0.512568355885957,0.525990523325575,0.474009476674425
"5","California",0.222062023196453,0.523578854906795,0.254359121896752,0.492968955912432,0.507031044087568,0.476529060741126,0.523470939258874
"6","Colorado",0.196300665034242,0.530573052652177,0.273126282313581,0.498983486863198,0.501016513136802,0.848022394482752,0.151977605517248
"7","Connecticut",0.177891919474896,0.550270016309302,0.271838064215801,0.486153765847312,0.513846234152688,0.0359774913242469,0.964022508675753
"8","Delaware",0.188604089517776,0.511865500667559,0.299530409814665,0.480056874050815,0.519943125949185,0.0453383936969806,0.954661606303019
"9","District of Columbia",0.291135087084599,0.493893617335924,0.214971295579477,0.470068112874519,0.529931887125481,0.427687570305397,0.572312429694603
"10","Florida",0.173569523101853,0.505127084959602,0.321303391938546,0.484182429186403,0.515817570813597,0.628109193079605,0.371890806920395
"11","Georgia",0.218798617469085,0.526174023152902,0.255027359378013,0.481022960006299,0.518977039993701,0.564698437724759,0.435301562275241
"12","Hawaii",0.202841090504776,0.495120858684572,0.302038050810652,0.494103326279995,0.505896673720005,0.469359358680578,0.530640641319422
"13","Idaho",0.227879124276636,0.479708318198454,0.29241255752491,0.497655408762901,0.502344591237099,0.278052918696458,0.721947081303542
"14","Illinois",0.222147213390358,0.520684693130667,0.257168093478976,0.488676600245143,0.511323399754857,0.344248055760489,0.655751944239511
"15","Indiana",0.222880023171299,0.493611162379784,0.283508814448917,0.490739671077871,0.50926032892213,0.282880379566035,0.717119620433965
"16","Iowa",0.207451049127958,0.483513448026365,0.309035502845677,0.496624564845851,0.503375435154149,0.430021775749636,0.569978224250365
"17","Kansas",0.228011498259951,0.493442188982963,0.278546312757086,0.495052269653939,0.504947730346061,0.410621505273575,0.589378494726425
"18","Kentucky",0.207386076994214,0.526079789677183,0.266534133328603,0.488476149358678,0.511523850641322,0.0510253713657343,0.948974628634266
"19","Louisiana",0.222239543482769,0.510666211840098,0.267094244677133,0.482148923725077,0.517851076274923,0.260638162352036,0.739361837647964
"20","Maine",0.169136384677015,0.51729655106653,0.313567064256455,0.489491357525276,0.510508642474724,0.292138604798727,0.707861395201273
"21","Maryland",0.191571005538127,0.548404812976413,0.26002418148546,0.480965325245851,0.519034674754149,0.382317915440829,0.617682084559171
"22","Massachusetts",0.216113513727134,0.505187096769273,0.278699389503593,0.484524511054494,0.515475488945507,0.330245841021419,0.669754158978581
"23","Michigan",0.208753268400465,0.504520914734138,0.286725816865397,0.489546064924235,0.510453935075765,0.260143867549018,0.739856132450982
"24","Minnesota",0.220592339095973,0.522255929802193,0.257151731101834,0.497073932010645,0.502926067989355,0.196852417769978,0.803147582230022
"25","Mississippi",0.207006555313307,0.518355684947765,0.274637759738929,0.478478430209455,0.521521569790545,0.0763364253376062,0.923663574662394
"26","Missouri",0.204672936134084,0.507736131838449,0.287590932027468,0.487999615465103,0.512000384534897,0.0886498380058957,0.911350161994104
"27","Montana",0.207859315872542,0.460929034500463,0.331211649626995,0.500728274084048,0.499271725915952,0.594069216871521,0.405930783128479
"28","Nebraska",0.234977419967766,0.470270483725655,0.294752096306579,0.496644456338952,0.503355543661048,0.263826923026621,0.736173076973379
"29","Nevada",0.213884052329953,0.528488445052425,0.257627502617622,0.497214883475707,0.502785116524293,0.670975122433465,0.329024877566535
"30","New Hampshire",0.172026808591803,0.513221029534867,0.314752161873331,0.493877379301642,0.506122620698358,0.0699013873018749,0.930098612698125
"31","New Jersey",0.205136187331422,0.5153750117438,0.279488800924779,0.486039541173716,0.513960458826284,0.078506867339728,0.921493132660272
"32","New Mexico",0.243188179924261,0.475106986671813,0.281704833403926,0.490702734033304,0.509297265966695,0.665750022346206,0.334249977653794
"33","New York",0.210499296981532,0.501452274127562,0.288048428890906,0.483835966758496,0.516164033241505,0.0533115010744431,0.946688498925557
"34","North Carolina",0.219631336983195,0.513138489226274,0.267230173790531,0.480862545325666,0.519137454674334,0.619270695459182,0.380729304540817
"35","North Dakota",0.254456848833559,0.507549664604522,0.237993486561919,0.512108052628475,0.487891947371525,0.308884797774655,0.691115202225345
"36","Ohio",0.214366702186396,0.487180797542505,0.298452500271099,0.487873624138816,0.512126375861183,0.313443605816274,0.686556394183726
"37","Oklahoma",0.213814104090189,0.492689836704167,0.293496059205644,0.490503924517596,0.509496075482404,0.169677856608748,0.830322143391252
"38","Oregon",0.193473375793295,0.501663957136846,0.304862667069858,0.49265613172172,0.50734386827828,0.895526135423173,0.104473864576827
"39","Pennsylvania",0.203504190220369,0.475819497260974,0.320676312518656,0.487050195432934,0.512949804567066,0.0376292417272727,0.962370758272727
"40","Rhode Island",0.194941309825758,0.492330890644887,0.312727799529354,0.483370570785444,0.516629429214556,0.0653174376590959,0.934682562340904
"41","South Carolina",0.179760191245796,0.508699509857482,0.311540298896723,0.479705354650545,0.520294645349455,0.216982119430491,0.783017880569509
"42","South Dakota",0.209509107736074,0.500733221006469,0.289757671257456,0.500787636480668,0.499212363519332,0.229743376825383,0.770256623174617
"43","Tennessee",0.199403163780418,0.508214837405556,0.292381998814026,0.483990431209605,0.516009568790395,0.624868042633565,0.375131957366435
"44","Texas",0.22316226008085,0.532855228016392,0.243982511902758,0.49193380290007,0.50806619709993,0.713076357775134,0.286923642224866
"45","Utah",0.26432984348426,0.515020894665752,0.220649261849988,0.50134568522855,0.49865431477145,0.68242842240826,0.31757157759174
"46","Vermont",0.189617456945418,0.489511473453025,0.320871069601557,0.492719790656982,0.507280209343018,0.252078675291272,0.747921324708728
"47","Virginia",0.220116123289898,0.506988964218429,0.272894912491673,0.485281838781881,0.514718161218119,0.106656574162245,0.893343425837755
"48","Washington",0.208218917835094,0.535442666167333,0.256338415997573,0.495964014451495,0.504035985548505,0.903042375256271,0.0969576247437289
"49","West Virginia",0.193745592017031,0.468576904652643,0.337677503330326,0.491837170654141,0.508162829345859,0.231869225288355,0.768130774711645
"50","Wisconsin",0.206287642659394,0.490959086490201,0.302753270850405,0.495063763812317,0.504936236187683,0.266906621196641,0.733093378803359
"51","Wyoming",0.223267345331956,0.499199702471024,0.27753295219702,0.50683549218667,0.49316450781333,0.257822351642521,0.742177648357479
